epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,2974.64,0.68482,0.31552,0.95535,0.9974,0.99412,0.99497,0.77926,0.88097,0.32573,1.13577,0.0003368,0.0003368,0.0003368
86,3008.54,0.68798,0.31084,0.95843,0.9974,0.99409,0.99497,0.79235,0.8602,0.32015,1.1145,0.000317,0.000317,0.000317
87,3042.61,0.66168,0.30456,0.94516,0.9974,0.99398,0.99497,0.79948,0.8498,0.31951,1.10886,0.0002972,0.0002972,0.0002972
88,3077.6,0.67298,0.30231,0.94218,0.99741,0.99678,0.99497,0.80629,0.84426,0.31022,1.11406,0.0002774,0.0002774,0.0002774
89,3111.25,0.66837,0.30646,0.94854,0.99988,0.99741,0.995,0.79576,0.83472,0.30571,1.10859,0.0002576,0.0002576,0.0002576
90,3146.31,0.66038,0.30107,0.93721,0.99846,0.99741,0.995,0.79934,0.83758,0.31967,1.09871,0.0002378,0.0002378,0.0002378
91,3180.05,0.64972,0.2614,0.94605,0.99952,0.99741,0.995,0.80251,0.82515,0.30406,1.09337,0.000218,0.000218,0.000218
92,3212.02,0.62537,0.25732,0.94249,0.99482,0.99558,0.995,0.80387,0.84285,0.31708,1.11121,0.0001982,0.0001982,0.0001982
93,3245.25,0.62734,0.25216,0.93559,0.99742,0.99985,0.995,0.80454,0.83855,0.30706,1.1024,0.0001784,0.0001784,0.0001784
94,3277.41,0.61038,0.25144,0.93469,0.99445,0.99741,0.995,0.80905,0.8316,0.30676,1.11261,0.0001586,0.0001586,0.0001586
95,3309.16,0.61734,0.24877,0.93564,1,0.99871,0.995,0.80644,0.84364,0.31051,1.10157,0.0001388,0.0001388,0.0001388
96,3340.91,0.60884,0.24401,0.93454,0.9974,0.99412,0.995,0.8106,0.82722,0.30342,1.09686,0.000119,0.000119,0.000119
97,3373.86,0.59014,0.24138,0.92282,1,0.99717,0.995,0.80664,0.82913,0.30464,1.10461,9.92e-05,9.92e-05,9.92e-05
98,3405.92,0.59358,0.24048,0.92458,1,0.99906,0.995,0.81405,0.82159,0.29993,1.10158,7.94e-05,7.94e-05,7.94e-05
99,3437.99,0.58033,0.23497,0.91671,0.99484,0.99968,0.995,0.81298,0.8194,0.30223,1.0976,5.96e-05,5.96e-05,5.96e-05
100,3470,0.57995,0.23657,0.91699,1,0.99681,0.995,0.81553,0.81709,0.30192,1.09343,3.98e-05,3.98e-05,3.98e-05
